movieid,title,year,director,actor1,actor2,actor3,actor4,actor5,plot
1032,Alice in Wonderland,1951,,Kathryn Beaumont,Ed Wynn,Sterling Holloway,Bill Thompson,J. Pat O'Malley,"On a sunny afternoon, Alice follows a White Rabbit, who makes his way to a nearby rabbit hole. While matching her pace with his, she tumbles into the hole and enters the Wonderland."
3510,Frequency,2000,Gregory Hoblit,Jim Caviezel,Dennis Quaid,Elizabeth Mitchell,Andre Braugher,Shawn Doyle,A son stumbles upon a radio that helps him communicate with his dead father. He tries his best to save his father's life without realising that his actions will alter the course of history.
1261,Evil Dead II ,1987,Sam Raimi,Bruce Campbell,Ted Raimi,Sarah Uriarte Berry,Dan Hicks,Kassie DePaiva,"The second of three films in the Evil Dead series is part horror, part comedy, with Ash Williams (Bruce Campbell) once again battling horrifying demons at a secluded cabin in the woods. After discovering an audiotape left by a college professor that contains voices reading from the Book of the Dead, Ash's girlfriend Linda (Denise Bixler) becomes possessed by evil spirits that are awakened by the voices on the tape. Ash soon discovers there is no escaping the woods.â€?Â More"
2085,101 Dalmatians ,1961,,,,,,,
1223,"Grand Day Out with Wallace and Gromit, A",1989,,,,,,,
3107,Backdraft,1991,Ron Howard,Kurt Russell,William Baldwin,Robert De Niro,Donald Sutherland,Jennifer Jason Leigh,Two firefighting brothers are forced to work together when a spate of recent fires point towards the hand of an arsonist.
3108,"Fisher King, The",1991,Terry Gilliam,Robin Williams,Jeff Bridges,Mercedes Ruehl,Amanda Plummer,Richard LaGravenese,"When provocation by Jack, a radio DJ, causes an unstable caller to shoot and massacre people, he becomes depressed. Soon, he meets a victim of the shootings and decides to help the guy in his quest."
3174,Man on the Moon,1999,MiloÅ¡ Forman,Jim Carrey,Danny DeVito,Courtney Love,Paul Giamatti,Bob Zmuda,"This film is a biographical journey of the late comedian, Andy Kaufman highlighting the struggles, success and the various roles he played in his life to his downfall, due to cancer."
34405,Serenity,2005,Joss Whedon,Nathan Fillion,Summer Glau,Morena Baccarin,Alan Tudyk,Jewel Staite,The crew of the ship 'Serenity' try to evade an assassin sent to recapture their doctor and his telepathic traumatized sister.
2020,Dangerous Liaisons,1988,Stephen Frears,John Malkovich,Glenn Close,Michelle Pfeiffer,Uma Thurman,Keanu Reeves,Rich and bored aristocrats in Rococo France play high-stakes games of passion and betrayal.
48385,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2006,Larry Charles,Sacha Baron Cohen,Pamela Anderson,Ken Davitian,Luenell,Bob Barr,"Borat, a TV reporter, travels to the United States on the behest of the Kazakh Ministry of Information. He plans to make a documentary on the 'Greatest Country in the World', the United States."
1027,Robin Hood: Prince of Thieves,1991,Kevin Reynolds,Kevin Costner,Alan Rickman,Morgan Freeman,Christian Slater,Mary Elizabeth Mastrantonio,Robin decides to avenge his father who was murdered by Sheriff Nottingham. He joins forces with Little John's band of thieves to overcome the evils of the sheriff.
68358,Star Trek,2009,J.J. Abrams,Leonard Nimoy,Majel Barrett,Chris Pine,Zachary Quinto,Simon Pegg,"Nero, a Romulan, tries to destroy all the planets one after the other. James Kirk, along with Spock and the rest of their teammates, tries to stop him ."
4270,"Mummy Returns, The",2001,Stephen Sommers,Rachel Weisz,Brendan Fraser,Patricia VelÃ¡squez,Dwayne Johnson,Arnold Vosloo,"When an archaeologist couple's son finds the Bracelet of Anubis, it locks onto his wrist. A cult resurrects Imhotep, an evil Egyptian high priest, who needs the bracelet to defeat the Scorpion King."
247,Heavenly Creatures,1994,Peter Jackson,Kate Winslet,Melanie Lynskey,Sarah Peirse,Diana Kent,Clive Merrison,True story of close friends who share a love of fantasy and literature. They conspire to kill one of the girls' mother when she tries to end the girls' intense and obsessive relationship.
1093,"Doors, The",1991,Oliver Stone,Val Kilmer,Meg Ryan,John Densmore,Kathleen Quinlan,Kyle MacLachlan,"A biographical depiction of 1960s rock band singer Jim Morrison aka the 'Electric Poet'. Initially a film student, Morrison rose to fame as the band's lead singer-songwriter but died at the age of 27."
2160,Rosemary's Baby,1968,Roman Polanski,Mia Farrow,John Cassavetes,Ruth Gordon,Sidney Blackmer,Maurice Evans,"A young wife comes to believe that her offspring is not of this world. Waifish Rosemary Woodhouse (Mia Farrow) and her struggling actor husband Guy (John Cassavetes) move to a New York City apartment building with an ominous reputation and odd neighbors Roman and Minnie Castavet (Sidney Blackmer, Ruth Gordon). When Rosemary becomes pregnant she becomes increasingly isolated, and the diabolical truth is revealed only after Rosemary gives birth.â€?Â More"
719,Multiplicity,1996,Harold Ramis,Michael Keaton,Andie MacDowell,Harris Yulin,Eugene Levy,Julie Bowen,"When Kinney finds it difficult to manage his work and his family, he gets himself cloned by Dr. Leeds. However, the multiple clones mess up his life entirely."
51255,Hot Fuzz,2007,Edgar Wright,Simon Pegg,Nick Frost,Martin Freeman,Timothy Dalton,Bill Nighy,"Police officer Nicholas Angel is known to be the best across London. His seniors, who are jealous of his achievements, transfer him to a remote village where he encounters various challenges."
1188,Strictly Ballroom,1992,Baz Luhrmann,Paul Mercurio,Tara Morice,Pat Thomson,Bill Hunter,Gia Carides,This romantic comedy is about the dreams of youth and ultimate fulfillment. It tells a story of love and conflict of two young people fighting for artistic freedom against a repressive regime.
69122,"Hangover, The",2009,Todd Phillips,Bradley Cooper,Zach Galifianakis,Ed Helms,Todd Phillips,Justin Bartha,"For a bachelor party, three best men and the groom take a road trip to Las Vegas. They wake up the next morning to realise that not only have they lost the groom but also have no recollection."
524,Rudy,1993,David Anspaugh,Sean Astin,Jon Favreau,Ned Beatty,Vince Vaughn,Charles S. Dutton,"Rudy has always been told that he was too small to play college football. However, he is determined to overcome the odds and fulfil his dream of playing for Notre Dame."
362,"Jungle Book, The",1994,Stephen Sommers,Jason Scott Lee,Lena Headey,Cary Elwes,Sam Neill,John Cleese,"Mowgli, who was raised by a wolf pack, is reunited and falls in love with his childhood friend Kitty. Things take a turn when the humans ask him to take them to King Louie's treasure."
3967,Billy Elliot,2000,Stephen Daldry,Jamie Bell,Julie Walters,Gary Lewis,Jamie Draven,Adam Cooper,"The life of 11-year-old Billy Elliot, a coal miner's son in Northern England, is forever changed one day when he stumbles upon a ballet class during his weekly boxing lesson. Before long, he finds himself in dance, demonstrating the kind of raw talent seldom seen by the class' exacting instructor, Mrs. Wilkinson. With a tart tongue and a never-ending stream of cigarettes in her hand, Mrs. Wilkinson's zest for teaching is revived when she sees Billy's potential.â€?Â More"
3916,Remember the Titans,2000,Boaz Yakin,Denzel Washington,Ryan Hurst,Ryan Gosling,Hayden Panettiere,Will Patton,An African-American is appointed as the new coach of a high school team. The team is playing as a racially-integrated team for the first time.
3624,Shanghai Noon,2000,Tom Dey,Jackie Chan,Owen Wilson,Lucy Liu,Brandon Merrill,Roger Yuan,A Chinese man travels to the Wild West to rescue a princess who has been kidnapped. He teams up with a train robber and the duo take on a Chinese traitor and his corrupt boss.
8949,Sideways,2004,Alexander Payne,Paul Giamatti,Thomas Haden Church,Virginia Madsen,Sandra Oh,Marylouise Burke,"Struggling writer and wine enthusiast Miles (Paul Giamatti) takes his engaged friend, Jack (Thomas Haden Church), on a trip to wine country for a last single-guy bonding experience. While Miles wants to relax and enjoy the wine, Jack is in search of a fling before his wedding. Soon Jack is sleeping with Stephanie (Sandra Oh), while her friend Maya (Virginia Madsen) connects with Miles. When Miles lets slip that Jack is getting married, both women are furious, sending the trip into disarray.â€?Â More"
3386,JFK,1991,Oliver Stone,Kevin Costner,Jim Garrison,Gary Oldman,Tommy Lee Jones,Kevin Bacon,"When attorney Jim Garrison sets out to uncover the mystery behind the assassination of former U.S. President John Kennedy, he faces strong opposition from the government."
30793,Charlie and the Chocolate Factory,2005,Tim Burton,Johnny Depp,Freddie Highmore,AnnaSophia Robb,Helena Bonham Carter,Deep Roy,"Charlie, a young boy from an impoverished family, and four other kids win a tour of an amazing chocolate factory run by an imaginative chocolatier, Willy Wonka, and his staff of Oompa-Loompas."
4816,Zoolander,2001,Ben Stiller,Ben Stiller,Owen Wilson,Will Ferrell,Justin Theroux,Christine Taylor,"Derek loses hope when his rival Hansel wins a pageant. A fashion designer hires Derek for a movie, but instead convinces him to kill the Malaysian Prime Minister."
1805,Wild Things,1998,John McNaughton,Denise Richards,Neve Campbell,Matt Dillon,Kevin Bacon,Theresa Russell,"Sam Lombardo is living a comfortable life in Blue Bay, South Florida. His comfort soon turns into discomfort when Kelly, the beautiful daughter of billionaire Sandra, accuses him of raping her."
3363,American Graffiti,1973,George Lucas,Harrison Ford,Ron Howard,Richard Dreyfuss,Paul Le Mat,Candy Clark,"On the last day of summer vacation in 1962, friends Curt (Richard Dreyfuss), Steve (Ronny Howard), Terry (Charles Martin Smith) and John (Paul Le Mat) cruise the streets of small-town California while a mysterious disc jockey (Wolfman Jack) spins classic rock'n'roll tunes. It's the last night before their grown-up lives begin, and Steve's high-school sweetheart, a hot-to-trot blonde, a bratty adolescent and a disappearing angel in a Thunderbird provide all the excitement they can handle.â€?Â More"
2826,"13th Warrior, The",1999,,Antonio Banderas,Vladimir Kulich,Omar Sharif,Dennis StorhÃ¸i,Diane Venora,An exiled Arab ambassador must join a band of Viking warriors to battle a supernatural enemy when a fortune-teller warns that they are doomed to fail without a 13th warrior.
1321,"American Werewolf in London, An",1981,John Landis,David Naughton,Jenny Agutter,Griffin Dunne,John Woodvine,Frank Oz,Two American tourists in Britain are attacked by a werewolf that none of the locals will admit exists.
193,Showgirls,1995,Paul Verhoeven,Elizabeth Berkley,Gina Gershon,Kyle MacLachlan,Rena Riffel,Glenn Plummer,"Nomi (Elizabeth Berkley) arrives in Las Vegas with only a suitcase and a dream of becoming a top showgirl. She quickly befriends Molly (Gina Ravera), who works at the high-profile Stardust Hotel, and lands a job at a seedy strip club. A chance meeting with Cristal (Gina Gershon), the Stardust's marquee dancer, and her powerful boyfriend, Zack (Kyle MacLachlan), brings Nomi one step closer to realizing her dream. But, as she ascends to the top, Nomi begins to wonder if it's all worth it.â€?Â More"
1831,Lost in Space,1998,Stephen Hopkins,Lacey Chabert,Gary Oldman,Matt LeBlanc,Angela Cartwright,June Lockhart,The Robinson family was going into space to fight for a chance for humanity. Now they are fighting to live long enough to find a way home.
531,"Secret Garden, The",1993,Agnieszka Holland,Kate Maberly,Heydon Prowse,Maggie Smith,Andrew Knott,John Lynch,"A young British girl is orphaned by an earthquake in India and is sent back to England to live at her uncle's castle. Here, she explores the estate and discovers a garden some secrets of the castle."
3072,Moonstruck,1987,Norman Jewison,Cher,Nicolas Cage,Olympia Dukakis,Vincent Gardenia,Danny Aiello,"Widowed Loretta wants to remarry and settles for nice and secure Johnny, until she meets his brother Ronny, who is moody and passionate. What follow are complications worthy of a comic opera."
1347,"Nightmare on Elm Street, A",1984,Wes Craven,Freddy Krueger,Glen Lantz,Nancy Thompson,Marge Thompson,Rod Lane,A young girl realises that she has to stay awake at any cost to avoid the psychotic killer who is butchering her friends one by one in their dreams.
2881,Double Jeopardy,1999,Bruce Beresford,Ashley Judd,Tommy Lee Jones,Bruce Greenwood,Benjamin Weir,Annabeth Gish,"A woman arrested for her husband's murder is sentenced for six years. She suspects that she was framed, so on her release, she sets out to find her son and the truth behind the murder."
1373,Star Trek V: The Final Frontier,1989,William Shatner,William Shatner,Leonard Nimoy,DeForest Kelley,Nichelle Nichols,George Takei,Captain Kirk and his crew are on a mission to free kidnapped diplomats over there they come face to face with Sybok who is obsessively searching for God.
273,Mary Shelley's Frankenstein ,1994,Kenneth Branagh,Kenneth Branagh,Robert De Niro,Helena Bonham Carter,Tom Hulce,Aidan Quinn,"Dr. Victor Frankenstein tries to destroy the monster he creates but it escapes. Things go back to normal, but then, the creature returns and asks the doctor for one of two things: a bride or revenge."
1644,I Know What You Did Last Summer,1997,Jim Gillespie,Jennifer Love Hewitt,Sarah Michelle Gellar,Freddie Prinze Jr.,Ryan Phillippe,Johnny Galecki,"Four high school teenagers try to cover up a hit-and-run case. A year later, they start receiving anonymous letters. Each one is attacked by a mysterious man who knows their deep, dark secret."
3252,Scent of a Woman,1992,Martin Brest,Al Pacino,Chris O'Donnell,Gabrielle Anwar,Philip Seymour Hoffman,James Rebhorn,"A prep school student, who is in need of money, agrees to be the caregiver of a blind man while his family is away. Unbeknownst to him, the blind colonel has his own agenda for the weekend."
44195,Thank You for Smoking,2006,,,,,,,
2501,October Sky,1999,Joe Johnston,Jake Gyllenhaal,Chris Cooper,Laura Dern,Chris Owen,William Lee Scott,The true story of one of America's first rocket engineers and how he went against his father's wishes to fulfil his great destiny.
1882,Godzilla,1998,Roland Emmerich,Matthew Broderick,Jean Reno,Maria Pitillo,Hank Azaria,Vicki Lewis,"An immense lizard, radioactively mutated, descends upon New York. Now it is up to the US Army and a team of dedicated investigators to unravel the mystery behind the creature before it is too late."
2064,Roger & Me,1989,,,,,,,
468,"Englishman Who Went Up a Hill But Came Down a Mountain, The",1995,Christopher Monger,Hugh Grant,Tara Fitzgerald,Colm Meaney,Ian McNeice,Ian Hart,"When an English cartographer must tell a Welsh village that their mountain is only a hill, the offended community sets out to change that."
4239,Blow,2001,Ted Demme,Johnny Depp,PenÃ©lope Cruz,Ted Demme,Emma Roberts,Franka Potente,"Having grown up amidst extreme poverty, George Jung becomes a cocaine peddler to earn money. While this makes him rich, he meets obstacles that lead to his fall from power."
3868,"Naked Gun: From the Files of Police Squad!, The",1988,David Zucker,Leslie Nielsen,George Kennedy,O. J. Simpson,Priscilla Presley,Ricardo MontalbÃ¡n,"Frank Drebin, an inept police detective, and Jane Spencer set out to impede Vincent Ludwig's plan to brainwash people into assassinating the Queen."
6218,Bend It Like Beckham,2002,Gurinder Chadha,Keira Knightley,Parminder Nagra,Jonathan Rhys Meyers,Preeya Kalidas,Archie Panjabi,"A girl bends the rules, to reach her goal, in professional soccer. But her traditional parents refuse to even consider it and want her to hang up her football boots, find a nice boy and learn to cook."
3617,Road Trip,2000,Todd Phillips,Amy Smart,DJ Qualls,Breckin Meyer,Seann William Scott,Tom Green,"When Josh accidentally mails a controversial tape to his girlfriend, he has to travel across cities to save his relationship. Three of his friends tag along with him on this trip."
230,Dolores Claiborne,1995,Taylor Hackford,Kathy Bates,Jennifer Jason Leigh,Judy Parfitt,Christopher Plummer,David Strathairn,"In a small New England town, Dolores Claiborne (Kathy Bates) works as a housekeeper for the rich but heartless Vera Donovan (Judy Parfitt). When Vera turns up dead, Dolores is accused of killing her elderly employer -- so her estranged daughter, Selena (Jennifer Jason Leigh), a well-respected New York City journalist, decides to visit her mother and investigate the matter for herself. As Selena digs deeper into the case, she uncovers shocking truths about the murder and her own childhood.â€?Â More"
7090,Hero ,2002,Zhang Yimou,Jet Li,Zhang Ziyi,Donnie Yen,Tony Leung Chiuâ€‘wai,Maggie Cheung,"A policeman decides to narrate his heroics of killing three assassins called Long Sky, Flying Snow and Broken Sword, to Qin, the King of China."
2018,Bambi,1942,,Donnie Dunagan,Hardie Albright,Peter Behn,Ann Gillis,Sterling Holloway,"Bambi, a young fawn who is to be the next Great Prince of the Forest like his father, learns about friendship, love and how to protect his near and dear ones while living in the forest."
306,Three Colors: Red ,1994,,,,,,,
2722,Deep Blue Sea,1999,Renny Harlin,Saffron Burrows,Samuel L. Jackson,Thomas Jane,LL Cool J,Jacqueline McKenzie,"A group of researchers are working to find a cure for Alzheimer's disease. Their work involves working with sharks. However, the sharks start becoming a threat to them."
2145,Pretty in Pink,1986,Howard Deutch,Molly Ringwald,Jon Cryer,Andrew McCarthy,James Spader,Annie Potts,"Andie, a young girl, is not popular at school. She mostly kept to her friend Iona and childhood sweetheart, Duckie. But what happens when one of the popular guys at school, falls in love with her."
2581,Never Been Kissed,1999,Raja Gosnell,Drew Barrymore,Michael Vartan,Jessica Alba,David Arquette,Leelee Sobieski,A rookie journalist must relive a nightmare when she's asked to go undercover at a high school. She enlists the help of her hip brother to get by.
3826,Hollow Man,2000,Paul Verhoeven,Elisabeth Shue,Kevin Bacon,Rhona Mitra,Kim Dickens,Josh Brolin,"Sebastian Caine develops a serum that allows the user to become completely invisible. He experiments with the serum on himself, but is unable to return from his invisible state."
800,Lone Star,1996,John Sayles,Matthew McConaughey,Elizabeth PeÃ±a,Chris Cooper,Kris Kristofferson,Frances McDormand,"In the Texas border town of Frontera, Sheriff Sam Deeds (Chris Cooper) digs up the past when he finds an old skull in the desert. As he traces the murder of Sheriff Charlie Wade (Kris Kristofferson) 40 years earlier, Deeds' investigation points toward his late father, the much-loved Deputy Buddy Deeds. Ignoring warnings not to delve any deeper, Sam rekindles a romance with his high school sweetheart while bringing up old tensions in the town and exposing secrets long put to rest.â€?Â More"
4223,Enemy at the Gates,2001,Jean-Jacques Annaud,Jude Law,Rachel Weisz,Ed Harris,Joseph Fiennes,Bob Hoskins,Russian sniper Vasily Zaytsev bumps off Nazi German soldiers one by one during the Battle of Stalingrad in 1942-1943. German Major Konig is ordered to slay Vasily to restore Adolf Hitler's honour.
2949,Dr. No,1962,Terence Young,Sean Connery,Ursula Andress,Joseph Wiseman,Zena Marshall,Jack Lord,"Agent 007 decides to battle against an eccentric scientist, Dr No, who is determined to ruin the US space programme. For this purpose, he journeys to Jamaica to nip in the bud this megalomaniac peril."
2948,From Russia with Love,1963,Terence Young,Sean Connery,Daniela Bianchi,Robert Shaw,Lotte Lenya,Pedro ArmendÃ¡riz,"James Bond is on a hunt for a Russian encryption device, Lektor, which has the potential to wreak havoc if acquired by SPECTRE, a secret crime organisation."
319,Shallow Grave,1994,Danny Boyle,Ewan McGregor,Christopher Eccleston,Kerry Fox,Keith Allen,Peter Mullan,Three room-mates find their newly accepted fourth room-mate dead in bed with a huge amount of cash beside him. Greed gets the worse out of them and the room-mates find themselves on a downward spiral.
327,Tank Girl,1995,Rachel Talalay,Lori Petty,Naomi Watts,Iceâ€‘T,Malcolm McDowell,Iggy Pop,"Based on the British cult comic-strip, the main protagonist, Tank Girl, an anti-heroine fights against a mega-corporation, which controls the world's water supply."
3300,Pitch Black,2000,David Twohy,Vin Diesel,Radha Mitchell,Rhiana Griffith,Cole Hauser,Claudia Black,"A passenger ship crash lands on a planet that has only sunlight, but an eclipse throws the survivors into danger when carnivorous monsters come out to hunt them."
1299,"Killing Fields, The",1984,Roland JoffÃ©,Haing S. Ngor,Sam Waterston,John Malkovich,Julian Sands,Spalding Gray,Sydney Schanberg is a New York Times journalist covering the civil war in Cambodia with local representative Dith Pran. Schanberg won't have trouble leaving the country but it isn't the same for Pran.
2944,"Dirty Dozen, The",1967,Robert Aldrich,Lee Marvin,Charles Bronson,Ernest Borgnine,Telly Savalas,Donald Sutherland,Twelve condemned soldiers are pressed into service as a crack commando team to undertake a daring mission in Nazi-occupied France.
4367,Lara Croft: Tomb Raider,2001,Simon West,Angelina Jolie,Daniel Craig,Jon Voight,Chris Barrie,Iain Glen,"Lara Croft sets out in search of an artefact. In the process of doing so, she must not only race against time but also defeat her enemies who are vying for the coveted artefact."
41566,"Chronicles of Narnia: The Lion, the Witch and the Wardrobe, The",2005,Andrew Adamson,Georgie Henley,Skandar Keynes,Anna Popplewell,William Moseley,James McAvoy,"While playing, Lucy and her siblings find a wardrobe that lands them in a mystical place called Narnia. Here they realise that it was fated and they must now unite with Aslan to defeat an evil queen."
1186,"Sex, Lies, and Videotape",1989,Steven Soderbergh,James Spader,Andie MacDowell,Laura San Giacomo,Peter Gallagher,Steven Brill,"John is having an affair with his wife's sister Cynthia. His wife claims that she doesn't need sex anymore. However, the arrival of an old friend changes everything."
34162,Wedding Crashers,2005,David Dobkin,Vince Vaughn,Owen Wilson,Rachel McAdams,Isla Fisher,Bradley Cooper,Two womanizers who love to gatecrash weddings find themselves in a fix when one of them falls in love with the bridesmaid at one such wedding.
3247,Sister Act,1992,Emile Ardolino,Whoopi Goldberg,Maggie Smith,Kathy Najimy,Wendy Makkena,Mary Wickes,"Hiding from her mobster boyfriend, Rene, a lounge singer, decides to stay at a traditional convent. She changes the dynamics of the convent when she begins to sing at the choir."
1960,"Last Emperor, The",1987,Bernardo Bertolucci,Ryuichi Sakamoto,John Lone,Joan Chen,Peter O'Toole,Ying Ruocheng,"Aisin-Gioro Pu Yi, the last emperor of China, has a sheltered upbringing till his world gets turned upside down by the Chinese revolution, a subsequent exile and an inconspicuous end."
3361,Bull Durham,1988,Ron Shelton,Kevin Costner,Susan Sarandon,Tim Robbins,Jenny Robertson,Robert Wuhl,Comedy about a love triangle between 2 players in a losing minor league baseball team and the groupie who chooses one promising player each year to educate and seduce.
2087,Peter Pan,1953,,Bobby Driscoll,Kathryn Beaumont,Tommy Luske,Hans Conried,Bill Thompson,"In this Disney animated film, Wendy (Kathryn Beaumont) and her two brothers are amazed when a magical boy named Peter Pan (Bobby Driscoll) flies into their bedroom, supposedly in pursuit of his rebellious shadow. He and his fairy friend, Tinkerbell, come from a far-off place called Neverland, where children stay perpetually young. Enchanted, the kids follow him back. But when Pan's nemesis, the pirate Captain Hook (Hans Conried), causes trouble, the kids begin to miss their old life.â€?Â More"
741,Ghost in the Shell ,1995,Mamoru Oshii,Motoko Kusanagi,Batou,Togusa,Daisuke Aramaki,Project 2501,"In this Japanese animation, cyborg federal agent Maj. Motoko Kusanagi (Atsuko Tanaka) trails ""The Puppet Master"" (Iemasa Kayumi), who illegally hacks into the minds of cyborg-human hybrids. Kusanagi's pursuit of a man who can modify the identity of strangers leaves her pondering her own makeup, and what life might be like if she had more human traits. With her partner (Akio Otsuka), Kusanagi corners the hacker, but her curiosity about her identity sends the case in an unforeseen direction.â€?Â More"
1175,Delicatessen,1991,,Marc Caro,Dominique Pinon,Marieâ€‘Laure Dougnac,Jeanâ€‘Claude Dreyfus,Karin Viard,"Clapet (Jean-Claude Dreyfus) is a butcher who owns a run-down apartment building in post-apocalyptic France. The building is in constant need of a handyman, because Clapet routinely butchers them and sells them as food. The latest in the long ling of disposable workers is Louison (Dominique Pinon), a former circus clown desperate for work and lodging. But this time Clapet's plan hits a snag when his young daughter (Marie-Laure Dougnac) falls head over heels for the lovable Louison.â€?Â More"
3362,Dog Day Afternoon,1975,Sidney Lumet,Al Pacino,John Cazale,Chris Sarandon,Charles Durning,Penelope Allen,"Based upon a real life story, a desperate and crazed man, with the help of an accomplice, takes a local Brooklyn bank hostage with plans to rob it in order to pay for his lover's sex-change operation."
2108,L.A. Story,1991,Mick Jackson,Steve Martin,Sarah Jessica Parker,Victoria Tennant,Marilu Henner,Richard E. Grant,"Harris K. Telemacher (Steve Martin) has the easiest job in the world: he's a TV weatherman in Los Angeles, where the weather is so predictable he tapes his forecasts days in advance. Bored with his job, his life and his relationship with longtime girlfriend Trudi (Marilu Henner), Harris begins to receive secret messages from an electronic freeway sign near his home, which lead him to pursue romance with a British journalist (Victoria Tennant) and a vapid young model (Sarah Jessica Parker).â€?Â More"
4002,"Planes, Trains & Automobiles",1987,John Hughes,John Candy,Steve Martin,Kevin Bacon,Laila Robins,Michael McKean,"Easily excitable Neal Page (Steve Martin) is somewhat of a control freak. Trying to get home to Chicago to spend Thanksgiving with his wife (Laila Robbins) and kids, his flight is rerouted to a distant city in Kansas because of a freak snowstorm, and his sanity begins to fray. Worse yet, he is forced to bunk up with talkative Del Griffith (John Candy), whom he finds extremely annoying. Together they must overcome the insanity of holiday travel to reach their intended destination.â€?Â More"
5956,Gangs of New York,2002,Martin Scorsese,Leonardo DiCaprio,Daniel Dayâ€‘Lewis,Cameron Diaz,Liam Neeson,Brendan Gleeson,"Amsterdam Vallon sets out to avenge his father who was killed in a gang fight at the hands of a crime lord. Whilst doing so, he gets caught up in the Civil War."
4148,Hannibal,2001,Ridley Scott,Anthony Hopkins,Julianne Moore,Gary Oldman,Ray Liotta,Frankie Faison,"Dr Hannibal Lecter, who was arrested for cannibalism, now lives at an unknown location under a new identity. One of the victims, Mason Verger, makes an elaborate plan to find him and avenge himself."
4321,City Slickers,1991,Ron Underwood,Billy Crystal,Jack Palance,Jake Gyllenhaal,Daniel Stern,Bruno Kirby,Three married urban males experience midlife crises. They decide to reignite their masculinity by taking a supervised cattle drive across south-western US. The journey is laden with twists and turns.
1037,"Lawnmower Man, The",1992,Brett Leonard,Pierce Brosnan,Jeff Fahey,Jenny Wright,Geoffrey Lewis,Austin O'Brien,"The eccentric Dr. Lawrence Angelo (Pierce Brosnan) puts mentally disabled landscaper Jobe Smith (Jeff Fahey) on a regimen of experimental pills and computer-simulated training sequences in hopes of augmenting the man's intelligence. In time Jobe becomes noticeably brighter and also begins to fare much better with the opposite sex. But, as he develops psychic powers, he realizes that those around him have taken advantage of his simplicity his whole life, and he plots a bloody revenge.â€?Â More"
2094,"Rocketeer, The",1991,Joe Johnston,Jennifer Connelly,Billy Campbell,Timothy Dalton,Alan Arkin,Paul Sorvino,"A stunt pilot comes across a prototype jetpack that gives him the ability to fly. However, evil forces of the world also want this jetpack at any cost."
2109,"Jerk, The",1979,Carl Reiner,Steve Martin,Bernadette Peters,Carl Reiner,Catlin Adams,Carl Gottlieb,"Navin (Steve Martin) believes he was born a poor black child in Mississippi. He is, however, actually white. Upon figuring this out, he heads north to St. Louis to find himself. After landing a job at a gas station, Navin is excited to discover his name printed in the new phone book. This ratification of his existence leads him from one misadventure to another -- as he invents gadgets, dodges bullets, joins the carnival and seeks love in the arms of beautiful Marie (Bernadette Peters).â€?Â More"
303,"Quick and the Dead, The",1995,Sam Raimi,Sharon Stone,Leonardo DiCaprio,Russell Crowe,Gene Hackman,Lance Henriksen,"Ellen, a mysterious gunslinger, arrives in Redemption to seek revenge on Herod, the ruthless leader of the place. However, she must first defeat highly skilled gunslingers in an elimination contest."
1269,Arsenic and Old Lace,1944,Frank Capra,Cary Grant,Priscilla Lane,Peter Lorre,Josephine Hull,Raymond Massey,A riotously funny black comedy with Cary Grant as the nephew who discovers that his seemingly sweet old aunts have a habit of bumping off their boyfriends.
2953,Home Alone 2: Lost in New York,1992,Chris Columbus,Macaulay Culkin,Joe Pesci,Daniel Stern,Catherine O'Hara,John Heard,Kevin thought all his worries were over for good and his parents won't leave home without him. But this time he is all alone in the big city of New York and the Wet Bandits are back in his life.
49530,Blood Diamond,2006,Edward Zwick,Leonardo DiCaprio,Jennifer Connelly,Djimon Hounsou,Arnold Vosloo,Kagiso Kuypers,"Solomon is abducted and forced to work in diamond mines, where he finds a priceless diamond and hides it. When Danny learns of it, he promises to help him find his family in exchange for the diamond."
1717,Scream 2,1997,Wes Craven,Neve Campbell,Courteney Cox,David Arquette,Kevin Williamson,Sarah Michelle Gellar,"In this sequel, Sidney's now in college and once again finds herself the target of a psychotic killer only this time, however, the body count is higher and the deaths more outrageous."
3148,"Cider House Rules, The",1999,Lasse HallstrÃ¶m,Charlize Theron,Tobey Maguire,Michael Caine,John Irving,Paul Rudd,"A kind-hearted young man, reared in an orphanage and schooled to be a doctor there, decides to exit the orphanage to experience the world outside."
1680,Sliding Doors,1998,Peter Howitt,Gwyneth Paltrow,John Hannah,Peter Howitt,Jeanne Tripplehorn,John Lynch,"Helen is fired from her job at a PR company. When the sliding doors of the train close on her, we start to see what would have happened if she'd made the train, and if she hadn't."
1077,Sleeper,1973,Woody Allen,Woody Allen,Diane Keaton,John Beck,Don Keefer,Mews Small,A clarinet player is frozen and brought back in the future by anti-government radicals in order to assist them in their attempts to overthrow an oppressive government.
2707,Arlington Road,1999,Mark Pellington,Jeff Bridges,Tim Robbins,Joan Cusack,Hope Davis,Mason Gamble,"When his wife is killed in action by an extremist group, Michael, a professor, becomes apprehensive of cultural sub-groups. He is suspicious of his new neighbours who seem to be hiding a dark secret."
2313,"Elephant Man, The",1980,David Lynch,John Hurt,Anthony Hopkins,Anne Bancroft,John Gielgud,Wendy Hiller,"The Elephant Man is a 1980 American film about Joseph Merrick, a severely deformed man in 19th century London. Wikipedia"
